Age;Gender;Marital Status;Occupation;Monthly Income;Educational Qualifications;Family size;latitude;longitude;Pin code;Medium (P1);Medium (P2);Meal(P1);Meal(P2);Perference(P1);Perference(P2);Ease and convenient;Time saving;More restaurant choices;Easy Payment option;More Offers and Discount;Good Food quality;Good Tracking system;Self Cooking;Health Concern;Late Delivery;Poor Hygiene;Bad past experience;Unavailability;Unaffordable;Long delivery time;Delay of delivery person getting assigned;Delay of delivery person picking up food;Wrong order delivered;Missing item;Order placed by mistake;Influence of time;Order Time;Maximum wait time;Residence in busy location;Google Maps Accuracy;Good Road Condition;Low quantity low time;Delivery person ability;Influence of rating;Less Delivery time;High Quality of package;Number of calls;Politeness;Freshness ;Temperature;Good Taste ;Good Quantity;Output;Reviews
25;Male;Married;Employee;More than 50000;Ph.D;4;129.261;776.221;560034;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Agree;Neutral;Agree;Disagree;Neutral;Agree;Agree;Agree;Disagree;Neutral;Agree;Neutral;Agree;Strongly agree;Strongly disagree;Agree;Agree;Disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Disagree;Agree;Agree;Agree;Yes;Very Important;Slightly Important;Very Important;Moderately Important;Important;Moderately Important;Very Important;Important;Yes;I expect faster delivery in my area
22;Female;Single;Student;10001 to 25000;Post Graduate;5;12.985;775.533;560010;Walk-in; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Agree;Neutral;Neutral;Neutral;Agree;Agree;Agree;Neutral;Neutral;Disagree;Yes;Weekend (Sat & Sun);15 minutes;Agree;Agree;Agree;Agree;Agree;Yes;Important;Important;Moderately Important;Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
22;Female;Single;Student;No Income;Post Graduate;2;129.119;776.446;560102;Food delivery apps; Direct call;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Strongly agree;Agree;Disagree;Disagree;Disagree;Strongly agree;Disagree;Agree;Strongly agree;Disagree;Strongly agree;Disagree;Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Neutral;Yes;Weekend (Sat & Sun);15 minutes;Agree;Agree;Disagree;Agree;Strongly Agree;Yes;Very Important;Very Important;Moderately Important;Important;Very Important;Important;Very Important;Important;Yes;NIL
25;Male;Single;Student;10001 to 25000;Post Graduate;3;129.306;775.434;560085;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Agree;Agree;Strongly agree;Agree;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Strongly disagree;Strongly Agree;Strongly Agree;Strongly disagree;Strongly Agree;Yes;Moderately Important;Very Important;Very Important;Moderately Important;Very Important;Very Important;Very Important;Important;Yes;Nil
25;Male;Single;Student;No Income;Post Graduate;5;12.977;775.773;560009;Food delivery apps; Walk-in;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Sweets;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Disagree;Neutral;Disagree;Strongly agree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Agree;Neutral;Disagree;Agree;Maybe;Important;Very Important;Important;Very Important;Very Important;Important;Very Important;Very Important;No;Now days delivery ?? is improved a lot like fast delivery ,but now corna time many people are hesitating to order 
32;Female;Prefer not to say;House wife;No Income;Graduate;5;12.982;776.256;560008;Food delivery apps; Web browser;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Sweets;Agree;Agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Disagree;Agree;Neutral;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Neutral;Agree;Yes;Weekdays (Mon-Fri);60 minutes;Agree;Agree;Strongly disagree;Agree;Neutral;Yes;Important;Important;Slightly Important;Important;Moderately Important;Important;Slightly Important;Important;Yes;I love zomato but it requires quality in deliver service. 
23;Female;Single;Student;No Income;Post Graduate;3;129.438;775.738;560004;Food delivery apps; Walk-in;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Neutral;Disagree;Agree;Strongly agree;Agree;Neutral;Agree;Agree;Disagree;Agree;Neutral;Agree;Agree;Strongly agree;Strongly agree;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Agree;Agree;Disagree;Agree;Yes;Very Important;Very Important;Moderately Important;Important;Very Important;Important;Very Important;Very Important;Yes;NIL
23;Female;Single;Student;No Income;Post Graduate;4;128.988;775.764;560078;Walk-in; Direct call;Breakfast; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Agree;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Agree;Neutral;Agree;Neutral;Neutral;Yes;Moderately Important;Moderately Important;Slightly Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Yes;NIL
30;Male;Married;Self Employeed;More than 50000;Uneducated;4;129.662;776.068;560025;Food delivery apps; Web browser;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Sweets;Agree;Strongly agree;Agree;Disagree;Neutral;Agree;Neutral;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Neutral;Strongly agree;Agree;Strongly agree;Agree;Neutral;Agree;Strongly agree;Yes;Weekdays (Mon-Fri);More than 60 minutes;Agree;Strongly Agree;Strongly Agree;Neutral;Agree;Yes;Important;Important;Moderately Important;Important;Important;Moderately Important;Important;Important;Yes;Prefer hygienic delivery people
23;Male;Single;Student;No Income;Graduate;3;129.565;775.484;560026;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Neutral;Strongly agree;Neutral;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Yes;Weekend (Sat & Sun);30 minutes;Agree;Agree;Neutral;Neutral;Strongly Agree;Yes;Very Important;Very Important;Slightly Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;nil
